Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Chicago Bulls,26.9,61,21,63,19,9.1,-0.53,8.57,114.6,105.2,95.6,0.296,0.06,0.56,0.521,12.8,34.7,0.225,0.488,15.3,68.8,0.226,Chicago Stadium,757745
2,Portland Trail Blazers,27.9,63,19,62,20,8.68,-0.21,8.47,112.8,104.3,100.5,0.344,0.123,0.554,0.509,13.4,33.8,0.259,0.473,14.4,70.4,0.25,Memorial Coliseum,528244
3,Los Angeles Lakers,28.4,58,24,59,23,6.74,-0.01,6.73,112.1,105,94.1,0.327,0.108,0.551,0.5,13.2,33,0.261,0.474,12.8,68.3,0.176,Great Western Forum,682024
4,Phoenix Suns,26.9,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,101,0.372,0.06,0.558,0.506,13.5,33,0.287,0.474,13.1,68.5,0.227,Arizona Veterans Memorial Coliseum,589591
5,Boston Celtics,28.2,56,26,56,26,5.82,-0.6,5.22,112.6,106.7,98.5,0.277,0.048,0.565,0.52,14,33,0.228,0.465,11.7,69.3,0.217,Boston Garden,611537
6,San Antonio Spurs,26,55,27,53,29,4.51,-0.21,4.3,107.8,103.3,98.6,0.352,0.043,0.544,0.494,15.2,33.3,0.269,0.463,13.2,70.3,0.228,HemisFair Arena,651965
7,Houston Rockets,27.3,52,30,50,32,3.5,-0.23,3.27,107.4,103.9,98.5,0.302,0.136,0.53,0.489,14.5,34.4,0.224,0.469,14.7,66.9,0.22,The Summit,613230
8,Utah Jazz,28.7,54,28,50,32,3.33,-0.15,3.18,108.6,105.1,95.3,0.378,0.07,0.559,0.503,14.6,27.6,0.298,0.473,13.7,69.2,0.23,Salt Palace,514751
9,Detroit Pistons,30.5,50,32,50,32,3.27,-0.19,3.08,108.2,104.6,91.9,0.322,0.064,0.523,0.474,13.1,34.7,0.245,0.464,12.8,71,0.248,The Palace of Auburn Hills,879614
10,Milwaukee Bucks,29.3,48,34,48,34,2.48,-0.15,2.33,109.7,107.2,96.1,0.323,0.108,0.55,0.499,14.3,31.8,0.258,0.5,16.4,66.1,0.259,Bradley Center,673687
11,Golden State Warriors,26.5,44,38,45,37,1.63,0.09,1.72,111.9,110.3,103.6,0.376,0.109,0.559,0.504,13.7,31,0.294,0.497,15.2,64.1,0.289,Oakland-Alameda County Coliseum Arena,616025
12,Seattle SuperSonics,26.2,41,41,44,38,1.23,0.08,1.31,109.7,108.5,96.2,0.301,0.06,0.542,0.501,14.8,36.3,0.226,0.503,16,66.3,0.277,Seattle Center Coliseum,501250
13,Atlanta Hawks,29,43,39,43,39,0.77,-0.05,0.72,110.9,110.1,98.6,0.352,0.116,0.54,0.482,12.9,33.1,0.282,0.509,13.7,69.1,0.22,Omni Coliseum,529161
14,Indiana Pacers,26.4,41,41,40,42,-0.39,0.02,-0.37,111.7,112.1,99.4,0.354,0.107,0.566,0.511,14.4,30.6,0.287,0.503,13.1,66.4,0.254,Market Square Arena,465650
15,Philadelphia 76ers,28.4,44,38,41,41,-0.18,-0.21,-0.39,107.9,108.1,95.7,0.342,0.089,0.542,0.489,13.4,28.1,0.27,0.489,12.5,68.3,0.187,The Spectrum,624582
16,New York Knicks,28.1,39,43,40,42,-0.23,-0.2,-0.43,107.1,107.3,95,0.315,0.082,0.544,0.498,15.1,31.1,0.242,0.489,13.4,68.5,0.205,Madison Square Garden (IV),654962
17,Cleveland Cavaliers,26.8,33,49,34,48,-2.46,0.14,-2.33,106.1,108.7,95.1,0.317,0.07,0.534,0.487,14.1,29.7,0.243,0.497,13.3,68,0.206,Coliseum at Richfield,623735
18,Los Angeles Clippers,25.1,31,51,32,50,-3.45,0.29,-3.16,103,106.5,99.9,0.311,0.059,0.511,0.471,14.7,33.3,0.218,0.481,13.7,69.2,0.266,Los Angeles Memorial Sports Arena,522111
19,Minnesota Timberwolves,26.2,29,53,30,52,-3.93,0.18,-3.75,106.7,110.9,92.3,0.286,0.052,0.499,0.456,11.5,34.9,0.21,0.502,13.8,65.9,0.248,Target Center,779530
20,Orlando Magic,26.1,31,51,31,51,-3.98,0.18,-3.79,105.9,109.9,99.5,0.337,0.104,0.521,0.473,14.3,33,0.251,0.493,12.8,68.9,0.26,Orlando Arena,617668
